DATETIMEDATA,RH,PM25
2024-03-12 19:00:00,81.57643834776593,27.700360791921614
2024-03-13 19:00:00,81.75415660255146,27.32362895435553
2024-03-14 19:00:00,83.13804931219772,26.940586737777856
2024-03-15 19:00:00,83.36719889283272,26.528564199911383
2024-03-16 19:00:00,82.91869560257841,26.066841894697586
2024-03-17 19:00:00,82.03015634767785,25.77588401438266
2024-03-18 19:00:00,82.21944222280901,25.432020368305043
2024-03-19 19:00:00,83.3223882750705,25.106408684386995
2024-03-20 19:00:00,83.4763900305033,25.29748747532001
2024-03-21 19:00:00,83.40888932715475,25.35116191331772
2024-03-22 19:00:00,82.93570605571986,24.903599153077987
2024-03-23 19:00:00,82.63343849374664,24.306034698282517
2024-03-24 19:00:00,82.2038455952688,24.00211624921011
